ele_load,g_demand,q_demand,h_demand,r_solar,wind_power
1229.7429238361397,545.3013659557396,0.0,0,0.0,367.0
1029.5606855292885,833.3081259248722,0.0,0,0.0,332.0
1086.760936968837,580.2254104101992,0.0,0,0.0,289.0
983.3302041483271,891.271102422714,0.0,0,0.0,241.0
1323.0606270134422,887.4552417854928,0.0,0,0.0,196.0
2145.693210557616,750.7935299368245,0.0,0,0.0,158.0
2838.065334586195,1562.528341162526,0.0,0,0.0,113.0
3234.2749766403713,3996.9780032987805,0.0,0,0.004,64.0
3461.4354086456296,3512.067824760663,0.0,0,0.103,18.0
3628.0100832242397,972.496173762252,0.0,0,0.302,34.0
4052.857702272071,213.4390307757405,0.0,0,0.467,45.0
4339.410174611218,40.331238965168275,0.0,0,0.557,49.0
4144.242764488535,24.52571711654107,0.0,0,0.581,45.0
3924.280782986337,7.076307313193262,0.0,0,0.534,39.0
3729.1133728636532,2.1939786969166124,0.0,0,0.422,34.0
3796.243036738896,0.0,0.0,0,0.241,30.0
4400.301249340873,0.0,0.0,0,0.055,30.0
4861.328371775398,0.0,0.0,0,0.0,20.0
4501.183321390279,5.360034961931309,0.0,0,0.0,14.0
4202.643559184106,564.3562396933442,0.0,0,0.0,10.0
3970.2842919921577,1511.6735012138122,0.0,0,0.0,4.0
3584.9685793611034,1197.3699136020914,0.0,0,0.0,0.0
2397.1326033566293,870.1567751640625,0.0,0,0.0,0.0
1486.5415507302632,1364.493488109519,0.0,0,0.0,0.0
1491.3121785847538,382.7006710039517,0.0,0,0.0,0.0
1310.5559257582072,512.7753209176137,0.0,0,0.0,0.0
1367.7561771977562,481.13736813856536,0.0,0,0.0,0.0
1264.3254443772448,940.3960483248912,0.0,0,0.0,2.0
1604.05586724236,925.9814306600805,0.0,0,0.0,19.0
2487.194021374756,2265.7539415099377,0.0,0,0.0,50.0
3367.3068591077854,11492.923770643683,0.0,0,0.0,80.0
5466.582566413432,16416.82084243552,0.0,0,0.0,90.0
10079.158899763606,8226.316302949814,0.0,0,0.1,67.0
9316.851352797868,5721.3191801628545,0.0,0,0.286,11.0
9543.634873292545,2751.7471970348356,0.0,0,0.425,2.0
10001.585088571672,2221.868668298324,0.0,0,0.516,1.0
9892.676080683308,3029.303888309829,0.0,0,0.56,1.0
9732.900421416985,1117.9420797176306,0.0,0,0.524,1.0
9215.554617459875,837.7182362632183,0.0,0,0.435,2.0
9289.37182304418,889.496607073138,0.0,0,0.253,7.0
10358.272163242975,785.3074963163808,0.0,0,0.059,21.0
8985.67334433163,1663.2253470439452,0.0,0,0.0,53.0
6393.55822685382,856.1852484451426,0.0,0,0.0,90.0
5884.461201036736,1883.2242712518207,0.0,0,0.0,121.0
5320.157106089136,2819.0208528285934,0.0,0,0.0,148.0
4817.685613881928,2453.9265300280313,0.0,0,0.0,180.0
3181.348897239978,690.1377080064426,0.0,0,0.0,206.0
2104.7854307357857,917.5458834686441,0.0,0,0.0,206.0
1515.0664741261498,169.0083311817418,0.0,0,0.0,196.0
